,Year,Area,DeathCount,Population
535,2010,Oregon,2069,3808600
536,2010,Pennsylvania,7760,12666858
537,2010,Rhode Island,611,1053646
538,2010,Illinois,6646,12796778
539,2010,Florida,11903,18652644
540,2010,Georgia,4505,9620846
541,2010,Delaware,531,891730
542,2010,Vermont,374,624817
543,2010,Virginia,4002,7925937
544,2010,Washington,3212,6667426
545,2010,Arkansas,2151,2896843
546,2010,Alaska,266,698895
547,2010,Alabama,3287,4757938
548,2010,Indiana,4067,6459325
549,2010,Kentucky,3292,4317074
550,2010,Louisiana,2704,4491648
551,2010,Maine,912,1329590
552,2010,North Carolina,5395,9449566
553,2010,Michigan,6006,9901591
554,2010,Ohio,7498,11528896
555,2010,Oklahoma,2444,3717572
556,2010,Mississippi,1931,2958774
557,2010,Missouri,3845,5961088
558,2010,South Carolina,2778,4589872
559,2010,Tennessee,4390,6306019
560,2010,West Virginia,1560,1847775
561,2011,Utah,459,2775326
562,2011,Colorado,1635,5048644
563,2011,Hawaii,548,1363945
564,2011,New Mexico,756,2064756
565,2011,Arizona,2722,6408312
566,2011,California,12960,37332685
567,2011,District of Columbia,226,605183
568,2011,Idaho,612,1571010
569,2011,Montana,478,990641
570,2011,Wyoming,234,564513
571,2011,North Dakota,298,674526
572,2011,Connecticut,1855,3579899
573,2011,Minnesota,2370,5311147
574,2011,South Dakota,433,816325
575,2011,Texas,9519,25244310
576,2011,New Jersey,4171,8803729
577,2011,New York,9112,19402640
578,2011,Alaska,241,714031
579,2011,Florida,12009,18849098
580,2011,Georgia,4418,9713521
581,2011,Alabama,3236,4785492
582,2011,Arkansas,2127,2921995
583,2011,Delaware,603,899816
584,2011,Illinois,6671,12841578
585,2011,Indiana,4096,6490528
586,2011,Nebraska,929,1830051
587,2011,Nevada,1251,2703284
588,2011,Missouri,3909,5996118
589,2011,Iowa,1741,3050738
590,2011,Mississippi,1958,2970322
591,2011,Louisiana,2724,4544996
592,2011,Maine,957,1327730
593,2011,Maryland,2745,5788584
594,2011,Michigan,5913,9877495
595,2011,Massachusetts,3552,6565524
596,2011,Kansas,1502,2858850
597,2011,Kentucky,3570,4348662
598,2011,Wisconsin,2971,5690263
599,2011,Ohio,7345,11540983
600,2011,Oklahoma,2402,3759603
601,2011,Oregon,2066,3838048
602,2011,Pennsylvania,7793,12712343
603,2011,South Carolina,2723,4635943
604,2011,Rhode Island,614,1053337
605,2011,Tennessee,4415,6356671
606,2011,Virginia,3974,8025773
607,2011,Washington,3236,6743226
608,2011,Vermont,405,625982
609,2011,West Virginia,1555,1854230
610,2011,New Hampshire,695,1316872
611,2011,North Carolina,5514,9558915
612,2012,Utah,440,2816124
613,2012,New Mexico,703,2077756
614,2012,California,12742,37676861
615,2012,Colorado,1590,5118360
616,2012,Hawaii,543,1377864
617,2012,Minnesota,2320,5348562
618,2012,Wyoming,226,567725
619,2012,Arizona,2665,6467163
620,2012,Idaho,619,1584143
621,2012,Nebraska,866,1842283
622,2012,Massachusetts,3414,6611923
623,2012,North Dakota,331,685476
624,2012,New Jersey,4119,8841243
625,2012,Washington,3130,6822520
626,2012,Texas,9705,25646389
627,2012,New York,9059,19519529
628,2012,Maryland,2690,5843603
629,2012,District of Columbia,236,620477
630,2012,Florida,11818,19096952
631,2012,Connecticut,1734,3589893
632,2012,Nevada,1321,2718379
633,2012,New Hampshire,798,1318473
634,2012,Montana,584,997821
635,2012,Michigan,5868,9876213
636,2012,Mississippi,1928,2978162
637,2012,Missouri,3833,6010717
638,2012,Rhode Island,599,1052451
639,2012,Pennsylvania,7690,12744293
640,2012,Vermont,376,626730
641,2012,Oregon,2063,3868031
642,2012,Ohio,7402,11544824
643,2012,Oklahoma,2501,3786274
644,2012,Virginia,4000,8110035
645,2012,West Virginia,1502,1854972
646,2012,Wisconsin,3118,5709640
647,2012,Alabama,3164,4799918
648,2012,Alaska,265,722713
649,2012,South Carolina,2783,4672637
650,2012,Arkansas,2112,2939493
651,2012,South Dakota,457,824398
652,2012,Tennessee,4321,6397634
653,2012,North Carolina,5535,9650963
654,2012,Louisiana,2707,4575404
655,2012,Maine,920,1328231
656,2012,Kansas,1508,2869503
657,2012,Kentucky,3389,4369354
658,2012,Iowa,1730,3065223
659,2012,Illinois,6616,12860012
660,2012,Indiana,3883,6516480
661,2012,Georgia,4472,9811610
662,2012,Delaware,558,907924
663,2013,Utah,453,2855782
664,2013,Colorado,1590,5189867
665,2013,Hawaii,495,1391820
666,2013,California,12501,38011074
